exsert	00027698
stretch out	00027698;00028160;00101188;01989285;02058913
hold out	00027698;01119003;02624202;02647825;02710992
stretch forth	00027698
hyperextend	00028003
crane	00028160
invigorate	00028355;00193180;00443018;01816687
reinvigorate	00028355
smile	00028558;01069534
dimple	00028869;00510530
grin	00029018
beam	00029207;00975088;01069402;01833689;02165960;02769698
smirk	00029329
simper	00029329
fleer	00029511
bray	00029623;00331892;01056425
bellylaugh	00029735
roar	00029829;00917558;01047931;01048804;01050590;02000220
howl	00029829;01047931;01048804;01049253
snicker	00030003
snigger	00030003
giggle	00030135
titter	00030135
break up	00030359;00209582;00331375;00338881;00356457;00356609;00364950;00448264;00780320;01217581;01445197;01563766;01564843;01613367;01661660;01789398;02033508;02034269;02436167
crack up	00030359;00862997;01789398
break	00030456;00107408;00107543;00154854;00202933;00203148;00259252;00259551;00334996;00335806;00337070;00340274;00363001;00364717;00390886;00435327;00552489;00559613;00740319;00740445;00746425;00780790;00781106;00935783;00938019;01109275;01230960;01231088;01301517;01372011;01372423;01560428;01600916;01613367;01613570;01789214;01900477;01976990;01993067;01995361;02033214;02034609;02077161;02105651;02323145;02404473;02436167;02484058;02541382;02565221;02572443;02576599;02606079;02631268;02674312;02687334;02687449;02752324;02752492
break down	00030640;00209582;00435327;00645135;01106247;01372791;01788114;02045722
collapse	00030640;00224886;01789398;01993067;01993576;02045722;02087744
drop like flies	00030846
cramp	00031061;00031174;00237139;01307126
fall over	00031270
go over	00031270;00344552;00663742;00698466
cackle	00031411;01058241;01058426
guffaw	00031533
laugh loudly	00031533
chuckle	00031656
chortle	00031656
laugh softly	00031656
laugh	00031813
express joy	00031813
express mirth	00031813
convulse	00032290;00861601;01391467;01391661;01894081;01894785
cachinnate	00032407
sneer	00032532;00032771
frown	00032974
glower	00032974;00033196
lour	00032974;00268741;00532569
lower	00032974;00268741;00532569;01577754;01977139
glare	00033196;02167103;02771048
stare	00033399;02137210
look	00033592;00714537;00721987;00931324;02134989;02137900;02158139;02555278;02664525;02699161
scowl	00033845
shrug	00033948
clap	00034108;00863593;01239962;01240163;01610494;02098450;02098577
spat	00034108;00056543;00776862;00863593;01240625;01541573;02763140
grimace	00034281
make a face	00034281
pull a face	00034281
screw up	00034627;00228093;01356014;02533317
pout	00034751;02724891
mop	00034751;01395993
mow	00034751;01322222
clear the throat	00035082
hawk	00035082;01148078;02307797
shower	00035252;01186866;01375659;02269409;02763609
foment	00035441;02591135
bathe	00035596;01584919;01965193
cleanse	00035769;00502977
clean	00035769;00177724;00177871;00180982;01535222;01535377;01536230;01611610;01611855;02747835
wash	00036171;00036355;00218002;00218382;00275741;00558763;01272408;01272763;01538034;01539132;02102457;02709013;02748717
sponge down	00036678;01253359
scrub	00036773;01253792;02483178
scrub up	00036773
soap	00036925
lather	00036925;00109348;00513124;01413739
gargle	00037131;01061817
rinse	00037131;01272763;01538956
shave	00037291;01251161;01251346;01251711;01252054;02354593
epilate	00037507
depilate	00037507
razor	00037673
tonsure	00037772
douche	00037912
comb	00038078;01321853;01599566
comb out	00038078;02228412
disentangle	00038078;01466149;01526611;01588680;02683880
slick	00038400;01248550
slick down	00038400
sleek down	00038400
dress	00038562;00043414;00044528;00045370;00046251;00047662;00082467;00512717;00543889;01265377;01268833;01323662;01366887;01469172;01683328;02040495
arrange	00038562;00737576;01023638;01466592;01651668;01709988;01748949
set	00038562;00055930;00296959;00299337;00299677;00407168;00408773;00409010;00443624;00675367;00701581;00949109;01064417;01117424;01249886;01496967;01533061;01570056;01610349;01616143;01632091;01709988;01715608;01748696;01974660
coif	00038562;01337329
coiffe	00038562
coiffure	00038562
bob	00038834;00901115;01558960;01869369;01943670
pompadour	00038980
marcel	00039098
wave	00039201;01043287;01226180;01449520;01905776
gauffer	00039393
goffer	00039393
perm	00039537
mousse	00039663
gel	00039663;00113536
pomade	00039815
tease	00039919;00852181;00854188;01358959;01466421;01534423;01575217;01807344;01807605
fluff	00039919;01394460;02533317
groom	00040084;00045370;02392176
neaten	00040084;00276642
clean up	00040497;00276642;02259479;02284160
make up	00040659;00276867;00766947;01637966;01757273;02258264;02526396;02626667;02678329
highlight	00040937;00515150
lipstick	00041148;01693484
rouge	00041285
condition	00041418;00207826;01020937;02559394;02577683
floss	00041597
shampoo	00041748
powder	00041904;00332964
talc	00042095
manicure	00042210;00042372
barber	00042523
pedicure	00042667
doll up	00042809
do up	00042809;01286214
pretty up	00042809
glam up	00042809
spruce up	00043009;00294739
spruce	00043009;00294739
slick up	00043009;00294739
smarten up	00043009;00294739
perfume	00043211;02130847
scent	00043211;02129688;02130106
preen	00043414;00885368;01394734
primp	00043414
plume	00043414;00144364;01394734;01684027;01776419;02324030
prank	00043643;01681753
tart up	00043768;01682035
overdress	00043880;00049026
dress up	00043880;00044528;00051478;00294290;01674210
fig out	00043880
fig up	00043880
deck up	00043880
gussy up	00043880
fancy up	00043880
trick up	00043880
deck out	00043880
trick out	00043880
prink	00043880;00045263
attire	00043880
rig out	00043880
tog up	00043880
tog out	00043880
enrobe	00044795;01337884
prim	00044876;00145592;00526244
prim up	00044876
prim out	00044876
bedizen	00044971;01683149
dizen	00044971
dress down	00045077;00826456
underdress	00045077;00049200
curry	00045370;00517374;02196671
reduce	00045548;00226497;00233575;00237885;00238145;00238590;00238763;00241017;00241924;00243282;00244786;00430013;00588693;01501776;01561364;01804889;02263098;02322816;02405030;02428975
melt off	00045548
slim	00045548
slenderize	00045548;00326971
thin	00045548;00226497;00431578;00431952
slim down	00045548
sweat off	00045739
gain	00045868;00157270;00158030;01113439;02024442;02293158;02294200;02295422;02297086
put on	00045868;00050369;00184656;00184931;00856586;01366351;01652793;01653351;01669080
round	00046099;00144967;00145443;00474730;00864347;00982371;01862896
flesh out	00046099;00957633;01197471
fill out	00046099;00172394;01022740;01197471;01529744;02347576
get dressed	00046251
bundle up	00046749;01489634
hat	00046889;02368127
try on	00047034
try	00047034;00445930;01197832;01802463;01802793;02506551;02506927;02535833;02537291
bonnet	00047228
wear	00047327;00047462;00050369;00052091;00074774;00470295;01372011;02710992;02745909
bear	00047462;00056644;00058790;00670017;01435234;01604155;01655681;02296669;02306786;02307200;02523827;02636952;02706727
clothe	00047662;01619938;02391817
enclothe	00047662
garb	00047662
raiment	00047662
tog	00047662
garment	00047662
habilitate	00047662;00301770
fit out	00047662;02344409
apparel	00047662
cover	00048350;00059956;00892737;00969130;00969487;01035399;01131627;01150762;01151046;01152476;01210571;01335412;01339317;01433080;01585121;01916152;02151539;02152799;02315654;02400142;02400336;02479869;02635874;02678648;02681746;02693758
wrap up	00048350;00436641;00485823;01285811
jacket	00048507;01337613
frock	00048629
shirt	00048724
habit	00048819
vesture	00048914
overclothe	00049026
corset	00049386
shoe	00049487
undress	00049617;00177253
discase	00049617
uncase	00049617
unclothe	00049617;01342585;02319926
strip	00049617;00177253;00194423;00194878;00195040;00195156;00195256;00489553;01266043;01266223;01611610;02319255;02349564
strip down	00049617
disrobe	00049617
peel	00049617;01262515;01265500
take off	00050171;00179205;00642914;01329005;01747194;01868424;02018017;02018405;02417080
get into	00050369;00876531;02020375;02244187;02642894
don	00050369
assume	00050369;00525762;00633898;01473485;01725631;01986409;02279327;02306786;02386868
scarf	00050777;01297492;01433765
slip on	00050887
slip off	00051087
coat	00051228;01264885;01266847
cross-dress	00051354
costume	00051478;02342541
dandify	00051659
vest	00051760;00051970;02226961;02367915;02391530
robe	00051760;01619938
have on	00052091
inseminate	00052265;01503986
fecundate	00052265;00505351
fertilize	00052265;00503838;00505351
fertilise	00052265;00503838;00505351
stratify	00052562;00508033;01311341;02518474;02518714
impregnate	00052876;00053058;00498786;00499380
knock up	00052876
bang up	00052876;01569486
prang up	00052876
inoculate	00053234;00055835;00086587;00188584;00834278
cross-fertilize	00053373;00053606
cross-fertilise	00053373;00053606
pollinate	00053776
pollenate	00053776
cross-pollinate	00053776
conceive	00054002;00691086;01636885
nick	00054252;00512399;01261569;01261705
beget	00054345
get	00054345;00065410;00087488;00094214;00120124;00120604;00149403;00346415;00523831;00591299;00624056;00641511;00772482;01028984;01068058;01156413;01217985;01403769;01435927;01508590;01567992;01646839;01741988;01774960;01775115;02009962;02010587;02014716;02112480;02113108;02114099;02193844;02213047;02215637;02360592;02364339
engender	00054345;01652566
father	00054345
mother	00054345;02556213
sire	00054345
generate	00054345;01630392;01631234;01632192
bring forth	00054345;01630392;01756303;02145619
ejaculate	00054724;00983976
reproduce	00054856;00961210;01740703;01741022
procreate	00054856
multiply	00054856;00056076;00248276;00643334
propagate	00055281;00055613;00970243;01381921;01382787;01438772;02089820;02235229
fructify	00055930;00507620;00507753
breed	00056076;01432088;01433080;01652566
pullulate	00056303;00247816;00357986;02032212;02720849
spawn	00056397;01652566
give birth	00056644;01635501
deliver	00056644;00991634;00991901;01064275;01440941;01511711;02240011;02298282;02363326;02509014;02556841;02557299
birth	00056644
have	00056644;00065141;00065410;00120604;00120854;00772482;01159300;01429760;01737358;02112480;02208144;02209474;02209880;02214901;02240906;02360592;02383544;02636270;02746620
lie in	00057124;02659476
labor	00057220;02412046;02424873
labour	00057220;02412046;02424873
twin	00057379;00247011;01295488;02665436
