entity	00001740
gaffe	00077016
solecism	00077016
gaucherie	00077016;04823356
howler	00077143;02495291;06791764
clanger	00077213
trip	00077383;00287084;00309196;04492482;07303090;07332119;14401716
trip-up	00077383
stumble	00077383;00290232
misstep	00077383
spill	00077704;00330445;04284172;15074161
tumble	00077704;00438728
wipeout	00078069;07349090
acquisition	00078239;05645403;05760541;13274154
obtainment	00078676
obtention	00078676
catching	00078801;00127706;00151907
contracting	00078801
incurring	00079037
moneymaking	00079213
annexation	00079356;00374226
pork-barreling	00079641
purchase	00079838;11435456;11493538;13274511
redemption	00080032;00094821;13320827
repurchase	00080032
buyback	00080032
trading	00080218
bond trading	00080423
bond-trading activity	00080423
program trading	00080572
short sale	00080728
short selling	00080728
short covering	00080916
insider trading	00081062
naked option	00081294
covered option	00081439
call option	00081563;13263308
call	00081563;00165622;01057417;01057878;06208240;06283456;06594937;06809500;07135232;07205353;07206789;07207171;07207321
put option	00081788;13263382
put	00081788
straddle	00081994;00350039;00439833;06221437
incentive option	00082215
incentive stock option	00082215
buying	00082392
purchasing	00082392
shopping	00082656;04210932
marketing	00082901;01114325;01115160
mail-order buying	00083043
catalog buying	00083043
viatication	00083167
viaticus	00083167
acceptance	00083345;00181262;04645532;06203462;07190724;13402775;13955454
succession	00083574;01012400;05051973;08476919;13584065
taking over	00083574
assumption	00083690;00084080;04845958;05900703;06766514;07372466;15218743
laying claim	00083690
position	00084268;00587299;00722683;00723730;01053255;05081943;05087073;06206019;06218486;06495143;06796122;08639173;08639776;08640161;13948785;13968971
inheritance	00084405;04928188;04929515;13283812
heritage	00084405;04928188;05677641;13283812
procurement	00084549
procurance	00084549
procural	00084549
appropriation	00084795;00374226;13310868
borrowing	00085191;01113038
adoption	00085191;00181262;01187782
naturalization	00085462;00922770;01190110;04794552
naturalisation	00085462;00922770;01190110;04794552
misappropriation	00085715;00778229
preemption	00085861;05185921;05186098;05966105
pre-emption	00085861;05185921;05186098;05966105
seizure	00086039;00089301;00776783;14105423
usurpation	00086252;00734781
confiscation	00086498
arrogation	00086498
distress	00086649;07511603;14349481;14500436
distraint	00086649
expropriation	00086960
impoundment	00087117
impounding	00087117
internment	00087117;01149281;14023787
poundage	00087117;05035514;13344229;13345934
drug bust	00087367
drugs bust	00087367
impress	00087474
impressment	00087474
occupation	00087629;00583425;00583905;01135427;15166446
occupancy	00087629;01056259
moving in	00087629
preoccupancy	00087893;05708052
preoccupation	00087893;05708052;05845245
sequestration	00088038;01204674;06567561;13575789
requisition	00088038;06487871;07206900
grant	00088243;05184004;06538610;11031119;11031394;11031555;13275136;13287915
subsidization	00088243;13406756
subsidisation	00088243;13406756
award	00088483;06709228;13289169
awarding	00088483
addiction	00088669;07501285;14086207
block grant	00088974
grant-in-aid	00089187;13288557
capture	00089301;00167523;00776783;13463888;13464040
gaining control	00089301
apprehension	00089545;05813483;05960433;07536913
arrest	00089545;14034398
catch	00089545;00139776;00459665;02986054;02986245;05172200;07081800;09261049;09920434;13777962
collar	00089545;01148201;03028565;03072185;03072490;03072711;03072866;03073002;04688109
pinch	00089545;00358101;00843942;07432005;13796315;14318642;14432775
taking into custody	00089545
conquering	00089847
subjection	00089847;14019785
subjugation	00089847;00422042;14019785
enslavement	00090054;14020535
restitution	00090171;00271119;13311699
restoration	00090171;00269401;01310097;04070101;04090580;14447921;15286679
regaining	00090171
clawback	00090477
repossession	00090711
foreclosure	00090896
reception	00091073;00140739;06291693;06643359;08271252
receipt	00091073;06532213
appointment	00091213;00164600;00587142;02733566;08401740;09630660
comb-out	00091430;00257828
giving	00091599;01088005;06697943
discard	00092054;00092323;09290396
throwing away	00092054
staging	00092224;00307928;04148777;07020287
mine disposal	00092490
minesweeping	00092599
sewage disposal	00092713
bait and switch	00092797
private treaty	00093032
auction	00093186;00492172
auction sale	00093186
vendue	00093186
bootlegging	00093483;00093667
capitalization	00093826;00953737;00954325;06414068
capitalisation	00093826;00953737;00954325;06414068
overcapitalization	00093947
overcapitalisation	00093947
reclamation	00094174;00096791;00269862
rescue	00094303
deliverance	00094303
saving	00094303;00193462;00820685
lifesaving	00094694
salvation	00094821;00097333;00180229;14562767
absolution	00095060;14597894
remission	00095060;00122926;07434560;13320476
remittal	00095060;07434560;13320476
remission of sin	00095060
indulgence	00095320;00513854;01075165;04645942;04891822
conversion	00095608;00189955;00400891;01095304;05810920;07117149;07369794;07430330;13474120
rebirth	00095608;01049727;07335847;11429028
spiritual rebirth	00095608
proselytism	00095774;07261042
expiation	00095941;13313810
atonement	00095941;13313810
propitiation	00095941;01153902
reparation	00096149;00267650;13313413;13313636
amends	00096149;13311699
liberation	00096322;00217041;00789493
release	00096322;00211789;00214561;00217041;00330445;01266940;04080320;04080537;06564805;06760197;07348249;13570875
freeing	00096322
jail delivery	00096693
reformation	00096791;08492940;14447491
salvage	00097031;00097163;13268453
search and rescue mission	00097540
ransom	00097671;01123906;13305071
recapture	00097789;00097942
retaking	00097789
invocation	00098064;05987026;07174947;07204950
instrumentation	00098168;00941634;03580409;07052656
execution	00098324;00221389;01129700;01166269;06565837;06566069;13498665
carrying out	00098324;01129700
carrying into action	00098324
specific performance	00098743
linguistic performance	00098871
mechanism	00099205;03743963;05981648;09372694;13533709
mechanics	00099205;06109843
service	00099445;00268956;00319217;00569467;00578562;00580601;00585928;00855279;01034072;01212066;04182441;05157079;08202965;08215077;11313626
curb service	00099642
self-service	00099759
valet parking	00099881
dramatic production	00100087
dramatic performance	00100087
encore	00100259
extemporization	00100408
extemporisation	00100408
improvisation	00100408;00179681;03570582
juggle	00100619;00339820
juggling	00100619;00339820
magic trick	00100771
conjuring trick	00100771
trick	00100771;00172439;00428583;00752073;01262274;10799671;15317503
magic	00100771;05976844
legerdemain	00100771
conjuration	00100771;05987026;07174767
thaumaturgy	00100771;05976844
illusion	00100771;00756110;05904666;05948354
deception	00100771;00753774;06770936
musical performance	00101073
one-night stand	00101257;00858188
rendition	00101363;00422316;05774244;06906604
rendering	00101363;01124358;04082727;04082827;05774244;06548380;06906604
interpretation	00101363;05774244;05937299;07185404
reinterpretation	00101709;05937519
spin	00101823;00307036;00310366;00344075;07456888
bowing	00102230;07289130
spiccato	00102390
spiccato bowing	00102390
piping	00102528;03950948;03953957
stopping	00102629;03343088
double stopping	00102859
transposition	00102982;00340602;00340733;00870938;07440503;07458361;14127480
jam session	00103194
automation	00103277;02764211;14598049
mechanization	00103277;14601847
mechanisation	00103277;14601847
computerization	00103599
cybernation	00103599
motorization	00103747
motorisation	00103747
launching	00103960;00104111;00238889
launch	00103960;03652737
rocket firing	00104239
rocket launching	00104239
blastoff	00104410
shot	00104410;00123481;00566339;00698618;00790134;00790293;01178123;04212826;04213050;04213137;04255717;05811946;06627082;06780713;10612523;13795390;14509257
moon shot	00104557
drive	00104654;00308457;00318420;00568081;00573526;00799906;03247416;03247698;03247921;03249091;04842955;14058780
thrust	00104654;00335761;01176455;06724343;11518603
driving force	00104654
firewall	00104908;03352826;03352988
impulse	00105069;05042975;07322660;07435591;07505719;09203328
impulsion	00105069;11467947
impetus	00105069;11467947
roll	00105229;00171161;00290503;01248360;04108326;04108469;06419376;06506991;07364132;07403416;07403930;07456219;07696677;13377742;13898609
bowl	00105229;02884182;02884435;02884638;02884787;02885542;04303019;13787671;13916387
throw	00105359;01248165;04437105;07365795;14509574
fling	00105984;00511486;00788715
heave	00106091;00117196;00227818;00325660;07364669;07385568
heaving	00106091;00325660;00835796;07385568
hurl	00106299
cast	00106299;00455648;01248360;02983121;02983295;03784903;04684871;08254784;13936581
leaner	00106444
toss	00106640;00346643;01248633
flip	00106640;00440424;00444788;01248633;01248753;07931127
pitch	00106924;00107092;00338036;00499569;00574701;04992447;05076368;07263321;08533915;08642231;14935855
ringer	00107546;10551002;10551114;10734500
shy	00107708
slinging	00107836
throw-in	00107957
balk	00108099;04052724;05697054;08533228
ball	00108220;00472688;02781674;02782458;03807768;05532266;05583825;07463485;07977630;08270189;10852327;13922097
beanball	00108371
beaner	00108371
change-up	00108504
change-of-pace	00108504
change-of-pace ball	00108504
off-speed pitch	00108504
curve	00108695;02832880;05079832;07013729;13890262
curve ball	00108695
breaking ball	00108695
bender	00108695;00512052;02833341
duster	00108901;03263033;03263433;11468490
fastball	00109001
heater	00109001;03513245
smoke	00109001;00836297;03997192;04110585;04769215;06815738;11528510;13578096
hummer	00109001;10211421
bullet	00109001;02919696;02920413
knuckleball	00109247
knuckler	00109247
overhand pitch	00109365
passed ball	00109485
screwball	00109638;09994026
sinker	00109785;04230853;07654678
slider	00109901;01671306;10295637;10624496
spitball	00110047;04288269
spitter	00110047;10656272
submarine ball	00110591
submarine pitch	00110591
wild pitch	00110712
basketball shot	00110877
bank shot	00111235
dunk	00111374
dunk shot	00111374
stuff shot	00111374
slam dunk	00111565;04764605
finger-roll	00111654
foul shot	00111784
free throw	00111784
penalty free throw	00111784
charity toss	00111784
charity throw	00111784
charity shot	00111784
one-and-one	00112042
hook shot	00112178
hook	00112178;00136619;00573322;03537522;03537852;03538099;05703197;13892186
jumper	00112323;03609613;03609749;03609842;03609976;04377135;10246473;10246663
jump shot	00112323
lay-up	00112480
layup	00112480
pivot shot	00112659
set shot	00112782
scoop shot	00112892
tip in	00113005
push	00113132;00283329;04033499;04843914;11518603
pushing	00113132
depression	00113494;07552873;09388914;13858914;13919062;14412645;14427564;14512697;14544431;15319454
click	00113648;03907626;07132918;07393823
mouse click	00113648
nudge	00113817
jog	00113817;00295034;13909904
press	00113933;00628253;04006350;04006669;04006838;04557470;06274022;08200316;14474815
pressure	00113933;05202630;05732420;11449572;11515441;14474815;14500660
pressing	00113933;04007225
impression	00114352;00550143;03570029;04682671;05925333;05945422;06602491;06868257;13919062
shove	00114546
bundling	00114774;00323217;07203639
jostle	00114915
jostling	00114915
elbowing	00115118
pull	00115251;00626667;00839336;04026090;05164657;11518440;14322572
pulling	00115251
drag	00115691;00839336;03236179;05213713;05697896;11525316
draw	00115856;00498547;00560366;00573322;03237949;03238126;07368316;09292788;10052401
haul	00115856;13777962
haulage	00115856
tow	00116112
towage	00116112
tug	00116320;04503138
jerk	00116320;00336814;00627663;07680515;10240710;15304501
draft	00116487;00841850;01160337;03235373;03235488;03235617;05142420;06402605;07899955;11542881;13398441
draught	00116487;00841850;03235373;05142420;07899955;11542881
drawing	00116487;00392901;00509102;00937756;03239009;07016235
extirpation	00116623;00394177
excision	00116623;00209126;00394177;06439886
deracination	00116623;00316656
pluck	00116828;04867047
traction	00116942;11480680
lift	00117196;00310102;00317420;00675401;01211977;03286056;03669700;03669840;04238755;07362999;07385271;11442391
raise	00117196;00804869;05117485;09229873
expulsion	00117507;00207776;00359528
projection	00117507;00407911;04015323;04015758;05783290;05919047;06900649;11532764;13563001;13942718
ejection	00117507;00207776
forcing out	00117507
defenestration	00117809
accommodation reflex	00117944
babinski	00118087
babinski reflex	00118087
babinski sign	00118087
belch	00118398
belching	00118398;00118630
burp	00118398
burping	00118398
eructation	00118398;14032052
blink	00118779
eye blink	00118779
blinking	00118779
wink	00118779;06891984;15271921
winking	00118779
nictitation	00118779
nictation	00118779
blush	00119088;14074353
flush	00119088;07454170;07543858;07974810;14074353;14359574;15320288
coughing up	00119265
spit	00119372;04288108;05423542;09465499
spitting	00119372
expectoration	00119372;13499137
vomit	00119553;03288430;14880143
vomiting	00119553
emesis	00119553
regurgitation	00119553;05770668;07421074
disgorgement	00119553
puking	00119553
rumination	00119899;00280221;05793513
hematemesis	00120030
haematemesis	00120030
hyperemesis	00120117
hyperemesis gravidarum	00120222
jump	00120388;00304675;00869035;06630934;07373585;07428822
jumping	00120388;00441158
header	00120713;00132305;03507921;03508041;03508241;03508377;06355341
hop	00120830;07464148;12418369
